Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Malpighiaceae	Byrsonima crassifolia (L.) Rich.	Muruci	Native	Bush	10 to 1	Mellitophily		yes	yes	bee	Apis melífera, Augochloropsis crassigena, Centris bicolor, Centris byrsonimae, Centris caxienses, Centris decolorata, Centris flavifrons, Centris fuscata, Centris longimana, Centris rhodoprocta, Centris spilopoda, Centris sponsa, Centris tarsata, Centris trigonoides, Dicranthidium arenarium, Epicharis analis, Epicharis bicolor, Epicharis flava, Epicharis umbraculata, Lophopedia pygmaea, Nannotrigona punctata, Paratetrapedia leucostoma, Paratetrapedia testacea, Plebeia fallax, Scaptotrigona postica, Tetragona beebei, Tetrapedia diversipes, Trigona fulviventris, Trigona fuscipennis, Trigona pallens, Trigonisca extrema, Trigonisca pediculana, Tropidopedia punctifrons, Xanthopedia globulosa	ALBUQUERQUE, P.M.C.; REGO, M.M.C. 1989. Fenologia das abelhas visitantes de murici (Byrsonima crassifolia, Malpighiaceae). Bol. Mus. Para. Emilio Goeldi. Ser.  Zool. 5: 163-178. / REGO, M.M.C. et al. 2006. Aspectos da biologia de nidificação de Centris flavifrons (Friese)(Hymenoptera: Apidae, Centridini), um dos principais polinizadores do murici (Byrsonima crassifolia L. Kunth, Malpighiaceae), no Maranhão. Neotropical Entomology 35:579-587 / REGO, M.M.C. et al. 2006. Polinizadores do murici (Byrsonima crassifolia, Malpighiaceae) em área nativa: diversidade de espécies, nidificação e seu uso sustentável na agricultura. Encontro sobre Abelhas. Ribeirão Preto. / ARAGÃO-FILHO, W. C.; REGO, M.M.C. 2003 Ocorrência de abelhas em Byrsonima crassifolia (L.) Kunth, Malpighiaceae: comparação entre estudos realizados entre os anos 80 e 2003. VI Congresso de Ecologia do Brasil. / REGO, M.M.C. 2008. Pollinators of Nance (Byrsonima crassifolia L. Rich, Malpighiaceae): Diversity of species, nest building and their sustainable use in agriculture in eastern amazon. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 22-25. / MARTINS, W.B.R.; VENTURIERI, G.C.; CARVALHO, J.E.U. 2010. Fenologia e Polinização do Murucizeiro (Birsonima crassifolia) em Belém, PA, Brasil. 14o Seminário de Iniciação Científica da EMBRAPA. 
P. B. Cavalcante	Malpighiaceae	Byrsonima crispa Jussieu	Muruci-da-Mata	Native	Tree		Mellitophily		yes	yes			
P. B. Cavalcante	Malpighiaceae	Byrsonima lancifolia Jussieu	Muruci-da-Capoeira	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Malpighiaceae	Byrsonima verbascifolia (L.) Rich. Ex Jussieu	Muruci-Rasteiro	Native	Bush	8 to 11	Mellitophily		yes	yes			
P. B. Cavalcante	Myrtaceae	Campomanesia lineatifolia Ruiz & Pavon	Guabiraba 	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Caryocaceae	Carica papaya L.	Mamão 	Exotic	Tree	1 to 12	Phalenophily 		no	yes	moth	no species quoted	WESTERKAMP, C.; GOTTSBERGER, G. 2000. Diversity pays in crop pollination. Crop Science 40:1209-1222.
S. Silva	Caryocaraceae	Caryocar brasiliense Camb.	Pequi	Native	Tree		Chiropterophily		yes	no	bat	no species quoted	CARVALHO, P. E. R. 2008. Espécies arbóreas brasileiras. Brasília, DF: Embrapa Informação Tecnológica; Colombo: Embrapa Florestas.
P. B. Cavalcante	Caryocaceae	Caryocar villosum (Aubl.) Pers.	Piquiá	Native	Tree	8 to 11	Chiropterophily		no	yes			
P. B. Cavalcante	Euforbiaceae	Caryodendron amazonicum Ducke	Castanha-de-Porco	Native	Tree		Undefined		no	no			
P. B. Cavalcante	Leguminosae	Cassia leiandra Benth.	Marimari	Native	Tree	7 to 9	Mellitophily		no	yes			
P. B. Cavalcante	Hippocrateaceae	Cheiloclinium cognatum (Miers) A.C. Smith 	Uarutama	Native	Bush		Mellitophily		no	yes			
P. B. Cavalcante	Crisobalanaceae	Chrysobalanus icaco L.	Ajuru	Exotic	Tree	1 to 12	Mellitophily		no	no			
P. B. Cavalcante	Sapotaceae	Chrysophyllum cainito L.	Camitié	Exotic	Tree	8 to 10	Myophily		yes	yes			
